모델명,제조(수입사),차종,유형,복합_연비,1회충전주행거리,도심_연비,고속도로_연비,등급
베프(VEV),Luqi Intellgent Technology Co Ltd,화물차,일반형,6,67,5.9,6.2,초소형
MASADA QQ 2밴,체리자동차,화물차,밴형,6.3,100,6.4,6.1,초소형
CEVO-C SE 1인승 밴형,주식회사 쎄보모빌리티,승용차,일반형,6.3,69,6.7,5.8,초소형
포텐스,(주)진우에스엠씨,화물차,일반형,4.5,57,5.4,3.8,초소형
D2C(D2C13),쎄미시스코,화물차,화물,5.4,79,6,4.8,초소형
포트로 픽업(HMT-250P),(주)디피코,화물차,기타형,4.2,69,5.1,3.4,초소형
포트로 탑(HMT-250T),(주)디피코,화물차,기타형,4.2,69,5.1,3.4,초소형
CEVO-C SE,(주)캠시스,승용차,일반형,6.3,69,6.7,5.8,초소형
포트로(HMT-101),(주)디피코,화물차,기타형,3.8,47,4.7,3.1,초소형
마이브 M1,투데이션샤인,승용차,기타형,5.5,57,6,5,초소형
D2P,쎄미시스코,화물차,화물,5.2,101,5.5,4.9,초소형
다니고3픽업(DANIGO 3 PICK UP) ,(주)루트17,화물차,화물,6.1,83,6.9,5.5,초소형
마스타(MASTA)VAN,마스타전기차(주),화물차,화물,6.1,65,6.1,6.2,초소형
CEVO-C,Supaq Motor Limited,승용차,일반형,6.4,62,6.9,5.9,초소형
D2C,쎄미시스코,화물차,화물,5.2,101,5.5,4.9,초소형
DANIGO 3,(주)루트17,화물차,화물,6.1,83,6.9,5.5,초소형
Danigo(다니고),(주)루트17,승용차,일반형,5.3,42.6,5.3,0,초소형
Change,AD모터스,승용차,기타형,4.3,27,4.3,0,초소형
레이(TAM PE2) 1.0MPI 4AT 1인 14인치 밴 빌트인캠 없음 (26MY),기아,승용차,승용겸화물형,12.9,,12.2,13.8,경형
레이(TAM PE2) 1.0MPI 4AT 2인 14인치 밴 빌트인캠 없음 (26MY),기아,승용차,승용겸화물형,12.9,,12.2,13.8,경형
레이(TAM PE2) 1.0MPI 4AT 5인 14인치 빌트인캠 없음 (26MY),기아,승용차,일반형,12.9,,12.2,13.8,경형
레이(TAM PE2) 1.0MPI 4AT 5인 15인치 빌트인캠 없음 (26MY),기아,승용차,일반형,12.6,,11.9,13.5,경형
"모닝(JA) PE2 1.0가솔린 14인치 빌트인캠 없음 밴형 (25MY)	",기아,승용차,일반형,14.7,,13.5,16.3,경형
모닝(JA) PE2 1.0가솔린 14인치 빌트인캠 없음 (25MY),기아,승용차,일반형,14.7,,13.5,16.3,경형
모닝(JA) PE2 1.0가솔린 16인치 빌트인캠 없음 (25MY),기아,승용차,일반형,14.7,,13.5,16.3,경형
레이(TAM PE2) 1.0MPI 1인 14인치 밴 25MY,기아,승용차,승용겸화물형,12.9,,12.2,13.8,경형
레이(TAM PE2) 1.0MPI 2인 14인치 밴 25MY,기아,승용차,승용겸화물형,12.9,,12.2,13.8,경형
레이(TAM PE2) 1.0MPI 5인 14인치 25MY,기아,승용차,일반형,12.9,,12.2,13.8,경형
레이(TAM PE2)1.0MPI 15인치 25MY,기아,승용차,일반형,12.6,,11.9,13.5,경형
캐스퍼(AX1 PE) 밴 1.0가솔린 15인치,현대,승용차,승용겸화물형,14.3,,13.4,15.5,경형
캐스퍼(AX1 PE) 1.0가솔린 15인치,현대,승용차,일반형,14.3,,13.4,15.5,경형
캐스퍼(AX1 PE) 1.0가솔린 17인치,현대,승용차,일반형,13.8,,13,14.8,경형
캐스퍼(AX1 PE) 밴 1.0T-GDI 15인치,현대,승용차,승용겸화물형,12.8,,11.3,15.2,경형
캐스퍼(AX1 PE) 1.0T-GDI 15인치,현대,승용차,일반형,12.8,,11.3,15.2,경형
캐스퍼(AX1 PE) 1.0T-GDI 17인치,현대,승용차,일반형,12.3,,11,14.2,경형
"모닝 25MY 1.0가솔린 14"" 밴",기아,승용차,승용겸화물형,14.7,,13.5,16.3,경형
"모닝 25MY 1.0가솔린 14""",기아,승용차,일반형,14.7,,13.5,16.3,경형
"모닝 25MY 1.0가솔린 16""",기아,승용차,일반형,14.7,,13.5,16.3,경형
모닝(JA PE2)_1.0가솔린_14인치타이어_밴형,기아,승용차,승용겸화물형,15.1,,13.8,16.9,경형
모닝(JA PE2)_1.0가솔린_14인치타이어,기아,승용차,일반형,15.1,,13.8,16.9,경형
모닝(JA PE2)_1.0가솔린_16인치타이어,기아,승용차,일반형,14.7,,13.5,16.3,경형
레이 1.0 가솔린 1인승 밴형 14인치 타이어,기아,승용차,승용겸화물형,13,,12.2,14,경형
캐스퍼 1.0 가솔린 15인치타이어_밴형,현대,승용차,일반형,14.3,,13.4,15.5,경형
캐스퍼 1.0T-GDI 4AT 15인치_밴형,현대,승용차,일반형,12.8,,11.3,15.2,경형
캐스퍼 1.0 가솔린 15인치타이어,현대,승용차,일반형,14.3,,13.4,15.5,경형
캐스퍼 1.0 가솔린 17인치타이어,현대,승용차,일반형,13.8,,13,14.8,경형
캐스퍼 1.0T-GDI 4AT 15인치,현대,승용차,일반형,12.8,,11.3,15.2,경형
캐스퍼 1.0T-GDI 4AT 17인치,현대,승용차,일반형,12.3,,11,14.2,경형
